Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 43.76      0.07     0.07  3515000     0.02     0.02  Community::Community(Community const&)
 12.50      0.09     0.02  1754511     0.01     0.06  Person::Person(Person const&)
  6.25      0.10     0.01  8787033     0.00     0.00  Point::~Point()
  6.25      0.11     0.01  8784511     0.00     0.00  Point::Point(Point const&)
  6.25      0.12     0.01  3514054     0.00     0.00  __gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > >::base() const
  6.25      0.13     0.01   461760     0.02     0.02  std::vector<double, std::allocator<double> >::_M_range_check(unsigned long) const
  6.25      0.14     0.01    20020     0.50     0.50  __gnu_cxx::__ops::__iter_less_val()
  6.25      0.15     0.01    20000     0.50     7.11  Person::update(int, double, double, int, std::vector<Person, std::allocator<Person> >&, std::vector<Community, std::allocator<Community> >&)
  6.25      0.16     0.01      887    11.28    11.78  Person::set_quarantine()
  0.00      0.16     0.00  3516006     0.00     0.00  Community::~Community()
  0.00      0.16     0.00  1757007     0.00     0.01  bool __gnu_cxx::operator!=<Person*, std::vector<Person, std::allocator<Person> > >(__gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > > const&, __gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > > const&)
  0.00      0.16     0.00  1755011     0.00     0.01  Person::~Person()
  0.00      0.16     0.00  1753500     0.00     0.00  __gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > >::operator++()
  0.00      0.16     0.00  1753500     0.00     0.00  __gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > >::operator*() const
  0.00      0.16     0.00   945619     0.00     0.00  distance(Coordinate, Coordinate)
  0.00      0.16     0.00   468016     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.16     0.00   461764     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.16     0.00   461760     0.00     0.02  std::vector<double, std::allocator<double> >::at(unsigned long)
  0.00      0.16     0.00   146953     0.00     0.00  Point::position()
  0.00      0.16     0.00   140519     0.00     0.00  std::vector<Person, std::allocator<Person> >::operator[](unsigned long)
  0.00      0.16     0.00   120120     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
